PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
224593233,20068947,6,2020-04-11T13:48:00,"900 Block Freeport Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1201,9,2,-79.89235295,40.4861185
224641737,20070021,10,2020-04-13T14:00:00,"1300 Block Chartiers Ave Pittsburgh, PA 15220",Y,Elliott,6,TERRORISTIC THREATS,2706 Terroristic Threats.,2020,2,5,-80.043765,40.4475962
224651408,20070018,0,2020-04-13T15:41:00,"7100 Block Campania Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,9998 Overdose Other,1201,9,2,-79.89207685,40.47256754
224665205,20070233,27,2020-04-13T22:30:00,"6700 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood West,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1207,9,2,-79.90801187,40.45866641
224474759,20066601,99,2020-04-07T16:50:00,"2100 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,AIDED CASE,9497 Aided Case,1306,9,2,-79.87402468,40.45296064
224481347,20064183,10,2020-04-03T11:50:00,"600 Block Tarragonna St Pittsburgh, PA 15210",Y,Bon Air,3,SIMPLE ASSAULT,2701 Simple Assault.,1806,,,0,0
224481372,20064887,10,2020-04-04T16:37:00,"600 Block Tarragonna St Pittsburgh, PA 15210",Y,Knoxville,3,TERRORISTIC THREATS,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats.",3001,,,0,0
224481397,20065437,10,2020-04-05T16:05:00,"600 Block Tarragonna St Pittsburgh, PA 15210",Y,Bon Air,3,TERRORISTIC THREATS,2706 Terroristic Threats.,1806,,,0,0
224496758,20067163,0,2020-04-08T14:09:00,"600 Block Mayville Ave Pittsburgh, PA 15226",N,Brookline,6,99,9993 PFA Service with Weapons Supplement,1917,4,5,-80.01446203,40.40151508
224502648,20067189,0,2020-04-08T15:52:00,"5900 Block BEACON St Pittsburgh, PA 15217",Y,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1408,5,3,-79.92014133,40.43489478
224503285,20067213,26,2020-04-07T23:00:00,"1700 Block Letsche St Pittsburgh, PA 15214",Y,Fineview,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,2509,,,0,0
224507785,20067315,6,2020-04-08T17:40:00,"200 Block Wilbur St Pittsburgh, PA 15210",N,Knoxville,3,THEFT FROM AUTO,3934 Theft from Vehicle,3001,3,5,-79.99259862,40.4074431
224917826,20072760,4,2020-04-18T05:39:00,"2800 Block Perrysville Ave Pittsburgh, PA 15214",Y,Perry South,1,AGG-ASSAULT,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,2615,1,1,-80.01038609,40.4739828
224808208,20071673,0,2020-04-15T19:15:00,"4000 Block Howley St Pittsburgh, PA 15224",N,Bloomfield,5,99,9093 Indirect Criminal Contempt,903,,,0,0
224938097,20073215,0,2020-04-19T00:07:00,"Haverhill St & Oakwood St Pittsburgh, PA 15221",N,East Hills,5,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident):  Vehicle accident,1306,9,2,-79.88478093,40.45185938
224949534,20073459,14,2020-04-19T11:50:00,"4900 Block Jordan  Way Pittsburgh, PA 15224",N,Garfield,5,CRIM MISCHIEF,3304 Criminal Mischief.,1017,9,2,-79.94477602,40.46716398
224889643,20072339,99,2020-04-17T12:42:00,"3000 Block Penn Ave Pittsburgh, PA 15201",N,Strip District,2,FOUND PROPERTY,9489 Found Property,203,7,6,-79.97247136,40.45875292
224942902,20073356,10,2020-04-19T08:08:00,"7th St & Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304 Criminal Mischief.",201,6,6,-79.99989389,40.44244524
224958898,20073591,99,2020-04-19T16:36:00,"100 Block 43rd St Pittsburgh, PA 15201",N,Central Lawrenceville,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),901,7,2,-79.9639235,40.47287437
224885101,20072282,99,2020-04-17T10:19:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,AIDED CASE,9497 Aided Case,2507,6,1,-80.01656851,40.45687441
224913427,20072652,3,2020-04-17T23:30:00,"2600 Block Centre Ave Pittsburgh, PA 15219",N,Terrace Village,2,ROBBERY,3701 Robbery.,510,6,3,-79.96837962,40.44650607
224944248,20073388,10,2020-04-18T21:03:00,"700 Block Bay Ridge Ave Pittsburgh, PA 15226",N,Brookline,6,HARRASSMENT,2709 Harassment (Non-Specific) / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1918,4,5,-80.02389549,40.39281406
224945194,20073412,14,2020-04-19T08:30:00,"4700 Block Hatfield St Pittsburgh, PA 15201",N,Central Lawrenceville,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,901,,,0,0
224948980,20073442,0,2020-04-19T10:43:00,"800 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): Stimulus Check Banking/Family Dispute,2609,1,1,-79.9994764,40.47575196
224950769,20073505,11,2020-04-14T09:28:00,"Penelope St Pittsburgh, PA 15211",N,Mount Washington,3,CREDIT CARDS,4106 Access Device Fraud,1914,2,5,-80.01209155,40.423592
224951424,20073521,11,2020-04-19T13:17:00,"3100 Block Brackenridge St Pittsburgh, OH 15219",N,Terrace Village,2,THEFT BY DECEPTION,3922 Theft by Deception. / 517.8 Home Improvement Fraud,510,6,3,-79.96309776,40.44795391
-3420001445,20072312,0,2020-04-17T12:24:00,"5100 Block Blair St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): Civil dispute,1501,5,3,-79.946458,40.40653767
224923646,20072885,14,2020-04-18T12:07:00,"Ewing St & Liberty Ave Pittsburgh, PA 15201",N,Lower Lawrenceville,2,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar) / 9130 Graffiti Investigation",603,7,6,-79.96807742,40.46102027
224801015,20055524,26,2020-04-16T08:00:00,"900 Block 2nd Ave Pittsburgh, PA 15219",N,Bluff,2,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,103,6,6,-79.99318468,40.43507182
224884345,20072292,6,2020-04-17T10:50:00,"1900 Block Centre Ave Pittsburgh, PA 15219",Y,Middle Hill,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 9501 Bench Warrant,501,6,3,-79.98090899,40.44319182
224758923,20071256,15,2020-04-15T16:19:00,"500 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License. / 6110.1 Possesion of Firearm by Minor,2609,,,0,0
